materia,topico,subtopico,cai_na_prova,dificuldade,instituicao,ano,enunciado,alt_a,alt_b,alt_c,alt_d,alt_e,gabarito,resolucao,tempo_medio_seg
"Cálculo I","Limites","Cálculo de limites",,"dificil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to -2} \dfrac{2x^3 + 9x^2 + 12x + 4}{-x^3 - 2x^2 + 4x + 8}$","$\dfrac{3}{4}$","$-\dfrac{1}{2}$","$-\dfrac{3}{4}$","$0$","Não existe","c","Fatore: $2x^3+9x^2+12x+4=(x+2)^2(2x+1)$ e $-x^3-2x^2+4x+8=-(x+2)^2(x-2)$. O limite vira $\lim_{x\to-2}\dfrac{2x+1}{-(x-2)}=\dfrac{-3}{4}$.",
"Cálculo I","Limites","Cálculo de limites",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to -3} \dfrac{\sqrt{x^2+16}-5}{x^2+3x}$","$\dfrac{1}{5}$","$-\dfrac{1}{5}$","$\dfrac{1}{10}$","$0$","Não existe","a","Multiplique pelo conjugado: $\dfrac{x^2-9}{x(x+3)(\sqrt{x^2+16}+5)}=\dfrac{x-3}{x(\sqrt{x^2+16}+5)}$. Em $x=-3$: $\dfrac{-6}{-3 \cdot 10}=\dfrac{1}{5}$.",
"Cálculo I","Limites","Cálculo de limites",,"dificil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 2} \dfrac{\sqrt{x^2+12}-4}{2-\sqrt{x^3-4}}$","$\dfrac{1}{6}$","$-\dfrac{1}{3}$","$0$","$-\dfrac{1}{6}$","Não existe","d","Racionalize numerador e denominador pelos conjugados e simplifique o fator $(x-2)$ comum. Resultado oficial da lista: $-\dfrac{1}{6}$.",
"Cálculo I","Limites","Cálculo de limites",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 0} \dfrac{\sqrt[5]{x^4+1}-1}{x^4}$","$0$","$\dfrac{1}{5}$","$1$","$\dfrac{1}{4}$",,"b","Com $u=x^4$, o limite vira $\lim_{u\to 0}\dfrac{(1+u)^{1/5}-1}{u}$, que é a derivada de $(1+u)^{1/5}$ em $u=0$, ou seja $\dfrac{1}{5}$.",
"Cálculo I","Limites","Cálculo de limites",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 1} \dfrac{x-1}{\sqrt[3]{x}-1}$","$\dfrac{1}{3}$","$0$","$1$","Não existe","$3$","e","Use $x-1=(\sqrt[3]{x}-1)(x^{2/3}+x^{1/3}+1)$. O limite vira $\lim_{x\to 1}(x^{2/3}+x^{1/3}+1)=3$.",
"Cálculo I","Limites","Limite fundamental",,"facil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 0} \dfrac{\operatorname{sen}(20x)}{\operatorname{sen}(301x)}$","$\dfrac{20}{301}$","$\dfrac{301}{20}$","$1$","$0$",,"a","Multiplique e divida pelos argumentos: $\dfrac{\operatorname{sen}(20x)}{20x}\cdot\dfrac{301x}{\operatorname{sen}(301x)}\cdot\dfrac{20}{301} \to \dfrac{20}{301}$ pelo limite fundamental.",
"Cálculo I","Limites","Limite fundamental",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 0} \dfrac{\operatorname{sen}(\operatorname{sen}(2x))}{x}$","$0$","$1$","$2$","$\dfrac{1}{2}$",,"c","$\dfrac{\operatorname{sen}(\operatorname{sen}(2x))}{\operatorname{sen}(2x)}\cdot\dfrac{\operatorname{sen}(2x)}{2x}\cdot 2 \to 1 \cdot 1 \cdot 2 = 2$.",
"Cálculo I","Limites","Limite fundamental",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 0} \left( \operatorname{tg}(3x)\,\operatorname{cossec}(6x) \right)$","$2$","$\dfrac{1}{2}$","$\dfrac{1}{6}$","$0$",,"b","$\operatorname{tg}(3x)\operatorname{cossec}(6x)=\dfrac{\operatorname{tg}(3x)}{\operatorname{sen}(6x)} \approx \dfrac{3x}{6x} = \dfrac{1}{2}$ usando os limites fundamentais.",
"Cálculo I","Limites","Cálculo de limites",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to \pi/2} \dfrac{\cos x}{x - \frac{\pi}{2}}$","$1$","$0$","Não existe","$-1$",,"d","Com $u = x - \frac{\pi}{2}$: $\cos x = \cos(u+\frac{\pi}{2}) = -\operatorname{sen}(u)$, então o limite vira $\lim_{u\to 0}\dfrac{-\operatorname{sen}(u)}{u} = -1$.",
"Cálculo I","Limites","Limites laterais",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 3^-} \dfrac{\sqrt{x^2-6x+9}}{x-3}$","$-1$","$1$","$0$","Não existe",,"a","$\sqrt{x^2-6x+9}=|x-3|$. Pela esquerda, $|x-3|=-(x-3)$, então o quociente vale $-1$ constantemente.",
"Cálculo I","Limites","Limite fundamental",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 1} \dfrac{\operatorname{sen}(3x^2-5x+2)}{x^2+x-2}$","$3$","$1$","$\dfrac{1}{3}$","$0$",,"c","Fatore: $3x^2-5x+2=(3x-2)(x-1)$ e $x^2+x-2=(x+2)(x-1)$. Como $\frac{\operatorname{sen}(u)}{u}\to 1$, o limite vira $\dfrac{3x-2}{x+2}$ em $x=1$, ou seja $\dfrac{1}{3}$.",
"Cálculo I","Limites","Limites laterais",,"dificil","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 0} \dfrac{\sqrt{x^4+x^2}}{x}$","$1$","$-1$","$0$","$+\infty$","Não existe","e","$\sqrt{x^4+x^2}=|x|\sqrt{x^2+1}$, então $\dfrac{|x|\sqrt{x^2+1}}{x}$ tende a $1$ pela direita e $-1$ pela esquerda. Como os limites laterais diferem, o limite não existe.",
"Cálculo I","Limites","Limites laterais",,"medio","MAT-111",2010,"Calcule, caso exista: $\lim_{x \to 2^-} \dfrac{x^2-2x}{x^2-4x+4}$","$+\infty$","$-\infty$","$0$","$1$",,"b","$\dfrac{x(x-2)}{(x-2)^2}=\dfrac{x}{x-2}$. Pela esquerda de $2$, o denominador tende a $0$ por valores negativos e o numerador a $2$, logo o limite é $-\infty$.",
